author	comment	vote
夭夜	已经买了上映当天的票，希望影片质量过关，拍的好的话我会二刷，要是片子垃圾那我会回来骂的。	0
言落	看到吴京的电影那必须5星支持一下，要说那个明星最爱国只有吴京电影里，为了支持爱国电影，为了支持中国第一部攀登电影，必须好评	2
哈	看是肯定要看的，但之后能不能搞一个无wj的cut版	1
山一程水一程	等着我😍😍😍	0
木宁溪	来了，他们来了，他们顶着各自当年票房冠军的光环又来了...   国庆大作，还是期待一下🙂	2
萌酱爱吃酱	可是导演是李仁港诶…	1
西门雪	攀登珠峰北坡，多么艰难的举动啊！看似不可能完成的任务，硬是给中国登山队给完成了。其中的凶险，想着都怕，能够在大荧幕前看到如此壮举，实属难得！相当期盼！	0
梦幻恒王	哇，集合了所有人的口味，也集合了所有喜爱的演员，太强了。	3
海蛟啊	毛主席像	4
蓝鹰之舞	看过垂直极限和珠峰清道夫，家姐和姐夫也都是业余登山运动员，每次他们出门我的邮箱都会收到一封意外保险，不理解不支持他们的行动，但是心底始终默默为他们祝福平安。	2
Mr.Time	就这个阵容，30亿票房保底。预告片剪得很好，要是导演编剧故事讲得好，40亿票房没问题	1
